fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220907 212722	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	176	TRUE	0.299877536470049	0.503914062234467	1694	520	0.781197705346167	81
20220907 212818	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1924	TRUE	0.0102022986702796	0.243187161981006	619	901	0.799108592719703	82
20220907 212824	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	93	TRUE	0.0951336952878847	0.999741819515397	109	11	0.795903250758678	83
20220907 212911	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	790	TRUE	0.010256376971781	0.292519238403663	254	1024	0.799135348237623	84
20220907 212914	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	71	TRUE	0.299944600743142	0.200062535588884	581	961	0.796367647657995	85
20220907 212918	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	101	TRUE	0.183550776935388	0.999889652326569	987	13	0.789518217400027	86
20220907 212925	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	498	TRUE	0.0904547675173482	0.200698238907104	1366	610	0.789067996237706	87
20220907 212928	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	29	TRUE	0.299964404445438	0.958365028920284	476	805	0.795496877105381	88
20220907 213006	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	773	TRUE	0.0102399005733008	0.485939808952572	311	1024	0.798728048881676	89
20220907 213051	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	662	TRUE	0.0100528290354085	0.440080412602644	216	818	0.799163607604794	90
20220907 213054	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	27	TRUE	0.299970860967099	0.644812909145921	576	842	0.792462191190267	91
20220907 213130	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	568	TRUE	0.010027677304431	0.99910756091023	231	581	0.796605801409327	92
20220907 213134	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	54	TRUE	0.151631115976179	0.893237088793358	410	23	0.795615718672506	93
20220907 213150	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	393	TRUE	0.0204738825516677	0.6358306283704	358	783	0.797541742940709	94
